DateTime,Scheduled flights,Tracked flights
2022-12-21,73,63
2022-12-22,62,45
2022-12-23,57,35
2022-12-24,53,41
2022-12-25,37,31
2022-12-26,58,51
2022-12-27,70,61
2022-12-28,64,60
2022-12-29,65,58
2022-12-30,62,60
2022-12-31,52,50
2023-01-01,46,44
2023-01-02,50,48
2023-01-03,63,59
2023-01-04,57,55
2023-01-05,61,60
2023-01-06,71,69
2023-01-07,54,52
2023-01-08,47,47
2023-01-09,54,51
2023-01-10,65,61
2023-01-11,72,67
2023-01-12,75,68
2023-01-13,69,67
2023-01-14,50,49
2023-01-15,56,56
2023-01-16,63,61
2023-01-17,60,60
2023-01-18,66,66
2023-01-19,67,62
