District,Pop_2002,Pop_2022,District_Code
Jongno-gu,184224,152211,11110
Jung-gu,141603,130785,11140
Yongsan-gu,245218,233284,11170
Seongdong-gu,343018,288234,11200
Gwangjin-gu,388478,351252,11215
Dongdaemun-gu,384356,353601,11230
Jungnang-gu,443246,390140,11260
Seongbuk-gu,446968,441984,11290
Gangbuk-gu,362906,297702,11305
Dobong-gu,373086,313989,11320
Nowon-gu,643585,508014,11350
Eunpyeong-gu,471873,470602,11380
Seodaemun-gu,368001,319554,11410
Mapo-gu,378777,375585,11440
Yangcheon-gu,486350,444010,11470
Gangseo-gu,530169,574638,11500
Guro-gu,415789,418418,11530
Geumcheon-gu,264004,242818,11545
Yeongdeungpo-gu,412152,398085,11560
Dongjak-gu,404872,390432,11590
Gwanak-gu,524560,501226,11620
Seocho-gu,393583,408451,11650
Gangnam-gu,540813,534103,11680
Songpa-gu,649888,664514,11710
Gangdong-gu,483004,464037,11740
