AEA,AEA_NAME,COUNTY,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,Total_PK12,White_Total,Perc_White
07,Central Rivers AEA,42,Hardin,0009,AGWSR Comm School District,650,578,88.92
11,Heartland AEA,39,Guthrie,0018,Adair-Casey Comm School District,271,229,84.50
11,Heartland AEA,25,Dallas,0027,Adel DeSoto Minburn Comm School District,2254,2051,90.99
12,Northwest AEA,75,Plymouth,0063,Akron Westfield Comm School District,608,518,85.20
05,Prairie Lakes AEA,11,Buena Vista,0072,Albert City-Truesdale Comm School District,114,87,76.32
15,Great Prairie AEA,68,Monroe,0081,Albia Comm School District,1120,1036,92.50
10,Grant Wood AEA,57,Linn,0099,Alburnett Comm School District,810,772,95.31
07,Central Rivers AEA,42,Hardin,0108,Alden Comm School District,159,132,83.02
05,Prairie Lakes AEA,55,Kossuth,0126,Algona Comm School District,1593,1422,89.27
01,Keystone AEA,03,Allamakee,0135,Allamakee Comm School District,1164,1098,94.33
07,Central Rivers AEA,12,Butler,0153,North Butler Comm School District,567,538,94.89
05,Prairie Lakes AEA,11,Buena Vista,0171,Alta-Aurelia Comm School District,837,624,74.55
11,Heartland AEA,85,Story,0225,Ames Comm School District,4678,2996,64.04
10,Grant Wood AEA,53,Jones,0234,Anamosa Comm School District,1193,1086,91.03
09,Mississippi Bend AEA,49,Jackson,0243,Andrew Comm School District,147,139,94.56
11,Heartland AEA,77,Polk,0261,Ankeny Comm School District,12750,10044,78.78
07,Central Rivers AEA,12,Butler,0279,Aplington-Parkersburg Comm School District,876,824,94.06
05,Prairie Lakes AEA,32,Emmet,0333,North Union Comm School District,325,301,92.62
12,Northwest AEA,24,Crawford,0355,Ar-We-Va Comm School District,243,202,83.13
13,Green Hills AEA,15,Cass,0387,Atlantic Comm School District,1604,1410,87.91
11,Heartland AEA,05,Audubon,0414,Audubon Comm School District,547,491,89.76
13,Green Hills AEA,78,Pottawattamie,0441,AHSTW Comm School District,776,710,91.50
11,Heartland AEA,85,Story,0472,Ballard Comm School District,1971,1806,91.63
11,Heartland AEA,50,Jasper,0513,Baxter Comm School District,486,459,94.44
07,Central Rivers AEA,38,Grundy,0540,BCLUW Comm School District,506,468,92.49
13,Green Hills AEA,87,Taylor,0549,Bedford Comm School District,535,514,96.08
10,Grant Wood AEA,06,Benton,0576,Belle Plaine Comm School District,479,440,91.86
09,Mississippi Bend AEA,49,Jackson,0585,Bellevue Comm School District,805,770,95.65
07,Central Rivers AEA,99,Wright,0594,Belmond-Klemme Comm School District,698,451,64.61
09,Mississippi Bend AEA,16,Cedar,0603,Bennett Comm School District,86,81,94.19
10,Grant Wood AEA,06,Benton,0609,Benton Comm School District,1702,1546,90.83
09,Mississippi Bend AEA,82,Scott,0621,Bettendorf Comm School District,4633,3248,70.11
15,Great Prairie AEA,90,Wapello,0657,Eddyville-Blakesburg- Fremont CSD,964,906,93.98
11,Heartland AEA,77,Polk,0720,Bondurant-Farrar Comm School District,2731,2307,84.48
11,Heartland AEA,08,Boone,0729,Boone Comm School District,2019,1764,87.37
12,Northwest AEA,84,Sioux,0747,Boyden-Hull Comm School District,630,443,70.32
07,Central Rivers AEA,41,Hancock,0819,West Hancock Comm School District,599,472,78.80
